28.10.2021|[4/2/1]
29.10.2021|[4/2]
30.10.2021|[4/2]
31.10.2021|[4/2]
1.11.2021|[4/2/1]
2.11.2021|[4/2]
3.11.2021|[4/2]
4.11.2021|[4/2]
5.11.2021|[4/2/1]
6.11.2021|[2]|MNO [4,5]
7.11.2021|[2]
8.11.2021|[4/2]
9.11.2021|[4/2]
10.11.2021|[4/2]
11.11.2021|[4/2]
12.11.2021|[4/2]
13.11.2021|[4/2]
14.11.2021|[4/2/1]
15.11.2021|[4/2]
16.11.2021|[4/2]
17.11.2021|[4/2]
18.11.2021|[4/2]
19.11.2021|[4/2]
20.11.2021|[4/2]
21.11.2021|[4/2/1]
22.11.2021|[0]
23.11.2021|[4/2]
24.11.2021|[4/2]
25.11.2021|[4/2]
26.11.2021|[4/2]
27.11.2021|[4/2]
28.11.2021|[4/2]
28.11.2021|[4/2/1]
29.11.2021|[4/2]
30.11.2021|[4/2]
1.12.2021|[4/2]
2.12.2021|[4/2]
3.12.2021|[4/2]
4.12.2021|[4/2]
5.12.2021|[4/2/1]
6.12.2021|[4/2]
7.12.2021|[4/2]
8.12.2021|[4/2]
9.12.2021|[4/2]
10.12.2021|[4/2]
11.12.2021|[4/2]
12.12.2021|[4/2/1]
13.12.2021|[4/2]
14.12.2021|[4/2]
15.12.2021|[4/2]
16.12.2021|[4/2]
19.12.2021|[4/2]
20.12.2021|[4/2]
21.12.2021|[4/2/1]
22.12.2021|[4/2]
23.12.2021|[4/2]
24.12.2021|[4/2]
25.12.2021|[4/2]
26.12.2021|[4/2]
27.12.2021|[4/2]
28.12.2021|[4/2/1]
30.12.2021|[4/2]
31.12.2021|[4/2]
1.1.2022|[4/2]
2.1.2022|[4/2]
3.1.2022|[4/2]
4.1.2022|[4/2/1]
5.1.2022|[4/2]
6.1.2022|[4/2]
7.1.2022|[4/2]
8.1.2022|[4/2]
9.1.2022|[4/2]
10.1.2022|[4/2]
11.1.2022|[4/2/1]
12.1.2022|[4/2]
14.1.2022|[4/2]
15.1.2022|[4/2]
16.1.2022|[4/2]
17.1.2022|[4/2]
18.1.2022|[4]
19.1.2022|[4/2]
20.1.2022|[4/2]
21.1.2022|[4/2]
22.1.2022|[4/2]
23.1.2022|[4/2/1]
24.1.2022|[4/2]
25.1.2022|[4/2]
26.1.2022|[4/2]
27.1.2022|[4/2]
28.1.2022|[4/2]
29.1.2022|[2]|MNO [5,6]
30.1.2022|[2]
31.1.2022|[2]
1.2.2022|[2]
2.2.2022|[2]
3.2.2022|[2]
4.2.2022|[2]
5.2.2022|[4/1]
6.2.2022|[4/1]
7.2.2022|[4/1]
8.2.2022|[4/1]
9.2.2022|[4/1]
10.2.2022|[4/2]|MNO [2,2]
11.2.2022|[4/2]
12.2.2022|[4/2]
13.2.2022|[4/2]
14.2.2022|[4/2]
15.2.2022|[4/2]
16.2.2022|[4/2]
17.2.2022|[4/2]
18.2.2022|[4/1]
19.2.2022|[4/1]
20.2.2022|[4/1]
21.2.2022|[4/2]
22.2.2022|[0]
23.2.2022|[4/2]
24.2.2022|[4/2]
25.2.2022|[4/2]
26.2.2022|[4/2]
27.2.2022|[4/1]
28.2.2022|[4/1]
1.3.2022|[4/1]
2.3.2022|[4/2]
3.3.2022|[4/2]
4.3.2022|[4/2]
5.3.2022|[4/2]
6.3.2022|[4/1]
7.3.2022|[4/1]
8.3.2022|[4/1]
9.3.2022|[4/2]
10.3.2022|[4/2]
11.3.2022|[4/2]
12.3.2022|[4/2]
13.3.2022|[4/1]
14.3.2022|[4/1]
15.3.2022|[4/1]
16.3.2022|[4/2]
17.3.2022|[4/2]
18.3.2022|[4/2]
19.3.2022|[4/2]
20.3.2022|[4/1]
21.3.2022|[4/1]
22.3.2022|[4/1]
23.3.2022|[4/2]
24.3.2022|[4/2]
25.3.2022|[4/2]
26.3.2022|[4/2]
27.3.2022|[4/1]
28.3.2022|[4/1]
29.3.2022|[4/1]
30.3.2022|[4/2]
31.3.2022|[4/2]
1.4.2022|[4/2]
2.4.2022|[4/2]
3.4.2022|[4/1]
4.4.2022|[4/1]
5.4.2022|[4/1]
6.4.2022|[4/2]
7.4.2022|[4/2]
8.4.2022|[4/2]
9.4.2022|[4/2]
10.4.2022|[4/1]
11.4.2022|[4/1]
12.4.2022|[4/1]
13.4.2022|[4/2]
14.4.2022|[4/2]
15.4.2022|[4/2]
16.4.2022|[4/2]
17.4.2022|[4/1]
18.4.2022|[4/1]
19.4.2022|[4/1]
20.4.2022|[4/2]
21.4.2022|[4/2]
22.4.2022|[4/2]
23.4.2022|[4/2]
24.4.2022|[4/1]
25.4.2022|[4/1]
26.4.2022|[4/1]
27.4.2022|[4/2]
28.4.2022|[4/2]
29.4.2022|[4/2]
30.4.2022|[4/2]
1.5.2022|[4/1]
2.5.2022|[4/1]
3.5.2022|[4/1]
4.5.2022|[4/2]
5.5.2022|[4/2]
6.5.2022|[4/2]
7.5.2022|[4/2]
8.5.2022|[4/1]
9.5.2022|[4/1]
10.5.2022|[4/1]
11.5.2022|[4/2]
12.5.2022|[4/2]
13.5.2022|[4/2]
14.5.2022|[4/2]
15.5.2022|[4/1]
16.5.2022|[4/1]
17.5.2022|[4/1]
18.5.2022|[4/2]
19.5.2022|[4/2]
20.5.2022|[4/2]
21.5.2022|[4/2]
22.5.2022|[4/1]
23.5.2022|[4/1]
24.5.2022|[4/1]
25.5.2022|[4/2]
26.5.2022|[4/2]
27.5.2022|[4/2]
28.5.2022|[4/2]
29.5.2022|[4/1]
30.5.2022|[4/1]
31.5.2022|[4/1]
1.6.2022|[4/2]
2.6.2022|[4/2]
3.6.2022|[4/2]
4.6.2022|[4/2]
5.6.2022|[4/1]
6.6.2022|[4/1]
7.6.2022|[4/1]
8.6.2022|[4/2]
9.6.2022|[4/2]
10.6.2022|[4/2]
11.6.2022|[4/2]
12.6.2022|[4/1]
13.6.2022|[4/1]
14.6.2022|[4/1]
15.6.2022|[4/2]
16.6.2022|[4/2]
17.6.2022|[4/2]
18.6.2022|[4/2]
19.6.2022|[4/1]
20.6.2022|[4/1]
21.6.2022|[4/1]
22.6.2022|[4/2]
23.6.2022|[4/2]
24.6.2022|[4/2]
25.6.2022|[4/2]
26.6.2022|[4/1]
27.6.2022|[4/1]
28.06.2022|[4/1]
29.6.2022|[4/2]
30.6.2022|[4/2]
1.7.2022|[4/2]
2.7.2022|[4/2]
3.7.2022|[4/1]
4.7.2022|[4/1]
5.7.2022|[4/1]
6.7.2022|[4/2]
7.7.2022|[4/2]
8.7.2022|[4/2]
9.7.2022|[4/2]
10.7.2022|[4/1]
11.7.2022|[4/1]
12.7.2022|[4/1]
13.7.2022|[4/2]
14.7.2022|[4/2]
15.7.2022|[4/2]
16.7.2022|[4/2]
17.7.2022|[4/1]
18.7.2022|[4/1]
19.7.2022|[4/1]
20.7.2022|[4/2]
21.7.2022|[4/2]
22.7.2022|[4/2]
23.7.2022|[4/2]
24.7.2022|[4/1]
25.7.2022|[4/1]
26.7.2022|[4/1]
27.7.2022|[4/2]
28.7.2022|[4/2]
29.7.2022|[4/2]
30.7.2022|[4/2]
31.7.2022|[4/1]
1.8.2022|[4/1]
2.8.2022|[4/1]
3.8.2022|[4/1]
4.8.2022|[4/2]
5.8.2022|[4/2]
6.8.2022|[4/2]
7.8.2022|[4/2]
8.8.2022|[4/1]
9.8.2022|[4/1]
10.8.2022|[4/1]
11.8.2022|[4/2]
12.8.2022|[4/2]
13.8.2022|[4/2]
14.8.2022|[4/2]
15.8.2022|[4/1]
16.8.2022|[4/1]
17.8.2022|[4/1]
18.8.2022|[4/2]
19.8.2022|[4/2]
20.8.2022|[4/2]
21.8.2022|[4/2]
22.8.2022|[4/1]
23.8.2022|[4/1]
24.8.2022|[4/1]
25.8.2022|[4/2]
26.8.2022|[4/2]
27.8.2022|[4/2]
28.8.2022|[4/2]
29.8.2022|[4/1]
30.8.2022|[4/1]
31.8.2022|[4/1]
1.9.2022|[4/2]
2.9.2022|[4/2]
3.9.2022|[4/2]
4.9.2022|[4/2]
5.9.2022|[4/1]
6.9.2022|[4/1]
7.9.2022|[4/1]
8.9.2022|[4/2]
9.9.2022|[4/2]
10.9.2022|[4/2]
11.9.2022|[4/2]
12.9.2022|[4/1]
13.9.2022|[4/1]
14.9.2022|[4/1]
15.9.2022|[4/2]
16.9.2022|[4/2]
17.9.2022|[4/2]
18.9.2022|[4/2]
19.9.2022|[4/1]
20.9.2022|[4/1]
21.9.2022|[4/1]
22.9.2022|[4/2]
23.9.2022|[4/2]
24.9.2022|[4/2]
25.9.2022|[4/2]
26.9.2022|[4/1]
27.9.2022|[4/1]
28.9.2022|[4/1]
29.9.2022|[4/2]
30.9.2022|[4/2]
1.10.2022|[4/1]
2.10.2022|[4/2]
3.10.2022|[4/2]
4.10.2022|[4/1]
5.10.2022|[4/1]
6.10.2022|[4/1]
7.10.2022|[4/2]
8.10.2022|[4/2]
9.10.2022|[4/2]
10.10.2022|[4/2]
11.10.2022|[0]|MNO [61,2]
12.10.2022|[0]|MNO [42] davlenie 132 na 86
13.10.2022|[0]|MNO [24]
14.10.2022|[0]|MNO [18,3]
15.10.2022|[0]|MNO [14,7]
16.10.2022|[0]
17.10.2022|[0]|MNO [13,8]
18.10.2022|[0]
19.10.2022|[0]|
20.10.2022|[0]|MNO [13,3]
21.10.2022|[0]
22.10.2022|[0]|MNO [13,4]
23.10.2022|[0]
24.10.2022|[0]
25.10.2022|[0]
26.10.2022|[0]
27.10.2022|[0]|MNO [13.5]
28.10.2022|[0]
29.10.2022|[0]
30.10.2022|[0]|MNO [13.0]
31.10.2022|[0]
1.11.2022|[0]
2.11.2022|[0]
3.11.2022|[0]|MNO[1]
4.11.2022|[4]|MNO[13.6]
5.11.2022|[4]
6.11.2022|[4]
07.11.2022|[4]
08.11.2022|[4]
09.11.2022|[4]|MNO[13.6]
10.11.2022|[4]
11.11.2022|[4]
12.11.2022|[4]|MNO[2.5]
13.11.2022|[4]
14.11.2022|[4]
15.11.2022|[4]
16.11.2022|[4]
17.11.2022|[4]
18.11.2022|[4]
19.11.2022|[4]
20.11.2022|[4]
21.11.2022|[4]
22.11.2022|[4]
23.11.2022|[4]
24.11.2022|[4]
25.11.2022|[4]
26.11.2022|[4]
27.11.2022|[4]
28.11.2022|[4]
29.11.2022|[4]
30.11.2022|[4]|MNO [3.0]
1.12.2022|[4]
2.12.2022|[4]
3.12.2022|[4]
4.12.2022|[4]
5.12.2022|[4]
6.12.2022|[4]
7.12.2022|[4]
8.12.2022|[4]
9.12.2022|[4]
10.12.2022|[4]
11.12.2022|[4]
12.12.2022|[4]
13.12.2022|[4]
14.12.2022|[4]
15.12.2022|[4]
16.12.2022|[4]
17.12.2022|[4]
18.12.2022|[4]
19.12.2022|[4]
20.12.2022|[4]
21.12.2022|[4]
22.12.2022|[4]
23.12.2022|[4]
24.12.2022|[4]
25.12.2022|[4]
26.12.2022|[4]
27.12.2022|[4]
28.12.2022|[4]
29.12.2022|[4]
30.12.2022|[4]
1.01.2023|[4]
2.01.2023|[4]
3.01.2023|[4]
04.01.2023|[4]
05.01.2023|[4]
06.01.2023|[4]
7.01.2023|[4]
8.01.2023|[4]
9.01.2023|[4]
10.01.2023|[4]
11.01.2023|[4]
12.01.2023|[4]
13.01.2023|[4]
14.01.2023|[4]
15.01.2023|[4]
16.01.2023|[4]
17.01.2023|[4]
18.01.2023|[4]
19.01.2023|[4]
20.01.2023|[4]
21.01.2023|[4]
22.01.2023|[4]
23.01.2023|[4]
24.01.2023|[4]
25.01.2023|[4]
26.01.2023|[4]
27.01.2023|[4]
28.01.2023|[4]
